Date,Price_Brent
2020-01-01,67.77
2020-01-02,67.05
2020-01-03,69.08
2020-01-04,69.47
2020-01-05,69.86
2020-01-06,70.25
2020-01-07,68.74
2020-01-08,67.31
2020-01-09,66.58
2020-01-10,66.77
2020-01-11,65.89333333333333
2020-01-12,65.01666666666667
2020-01-13,64.14
2020-01-14,64.45
2020-01-15,63.29
2020-01-16,64.63
2020-01-17,64.05
2020-01-18,64.24333333333333
2020-01-19,64.43666666666667
2020-01-20,64.63
2020-01-21,63.66
2020-01-22,62.11
2020-01-23,61.26
2020-01-24,59.34
2020-01-25,59.07333333333334
2020-01-26,58.806666666666665
2020-01-27,58.54
2020-01-28,59.37
2020-01-29,59.46
2020-01-30,57.72
2020-01-31,57.77
2020-02-01,56.513333333333335
2020-02-02,55.25666666666667
2020-02-03,54.0
2020-02-04,53.9
2020-02-05,55.36
2020-02-06,55.18
2020-02-07,54.53
2020-02-08,54.15
2020-02-09,53.77
2020-02-10,53.39
2020-02-11,54.0
2020-02-12,55.54
2020-02-13,56.34
2020-02-14,57.37
2020-02-15,57.52333333333333
2020-02-16,57.67666666666666
2020-02-17,57.83
2020-02-18,57.35
2020-02-19,59.72
2020-02-20,59.57
2020-02-21,58.6
2020-02-22,57.97
2020-02-23,57.34
2020-02-24,56.71
2020-02-25,55.29
2020-02-26,54.96
2020-02-27,52.19
2020-02-28,51.31
2020-02-29,51.71333333333334
2020-03-01,52.11666666666667
2020-03-02,52.52
2020-03-03,52.24
2020-03-04,51.86
2020-03-05,51.29
2020-03-06,45.6
2020-03-07,42.17666666666667
2020-03-08,38.75333333333333
2020-03-09,35.33
2020-03-10,35.57
2020-03-11,34.45
2020-03-12,31.02
2020-03-13,32.25
2020-03-14,30.826666666666668
2020-03-15,29.403333333333332
2020-03-16,27.98
2020-03-17,27.97
2020-03-18,22.79
2020-03-19,23.98
2020-03-20,25.55
2020-03-21,24.95
2020-03-22,24.35
2020-03-23,23.75
2020-03-24,24.5
2020-03-25,25.62
2020-03-26,23.55
2020-03-27,22.39
2020-03-28,21.323333333333334
2020-03-29,20.256666666666668
2020-03-30,19.19
2020-03-31,14.85
2020-04-01,14.97
2020-04-02,20.24
2020-04-03,24.33
2020-04-04,23.746666666666666
2020-04-05,23.16333333333333
2020-04-06,22.58
2020-04-07,22.1
2020-04-08,25.22
2020-04-09,20.23
2020-04-10,20.532
2020-04-11,20.834
2020-04-12,21.136
2020-04-13,21.438
2020-04-14,21.74
2020-04-15,19.8
2020-04-16,18.69
2020-04-17,19.75
2020-04-18,18.953333333333333
2020-04-19,18.156666666666666
2020-04-20,17.36
2020-04-21,9.12
2020-04-22,13.77
2020-04-23,15.06
2020-04-24,15.87
2020-04-25,15.636666666666667
2020-04-26,15.403333333333332
2020-04-27,15.17
2020-04-28,15.6
2020-04-29,17.86
2020-04-30,18.11
2020-05-01,18.49
2020-05-02,19.126666666666665
2020-05-03,19.763333333333332
2020-05-04,20.4
2020-05-05,25.46
2020-05-06,24.2
2020-05-07,24.23
2020-05-08,24.555
2020-05-09,24.880000000000003
2020-05-10,25.205000000000002
2020-05-11,25.53
2020-05-12,26.67
2020-05-13,27.89
2020-05-14,29.87
2020-05-15,30.95
2020-05-16,31.73333333333333
2020-05-17,32.516666666666666
2020-05-18,33.3
2020-05-19,33.06
2020-05-20,34.76
2020-05-21,34.78
2020-05-22,33.8
